song,performer,song_id,time_on_chart,chart_debut,Artist ID,Genres,Popularity
Anti-Hero,Taylor Swift,Anti-HeroTaylor Swift,54,2022-11-05,06HL4z0CvFAxyc27GXpf02,pop,100
Blinding Lights,The Weeknd,Blinding LightsThe Weeknd,90,2019-12-14,1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop",94
Save Your Tears,The Weeknd & Ariana Grande,Save Your TearsThe Weeknd & Ariana Grande,67,2021-01-09,1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop",94
Circles,Post Malone,CirclesPost Malone,61,2019-09-14,246dkjvS1zLTtiykXe5h60,"dfw rap, melodic rap, pop, rap",93
Better Now,Post Malone,Better NowPost Malone,52,2018-05-12,246dkjvS1zLTtiykXe5h60,"dfw rap, melodic rap, pop, rap",93
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)Post Malone & Swae Lee,53,2018-11-03,246dkjvS1zLTtiykXe5h60,"dfw rap, melodic rap, pop, rap",93
Sicko Mode,Travis Scott,Sicko ModeTravis Scott,52,2018-08-18,0Y5tJX1MQlPlqiwlOH1tJY,"rap, slap house",93
Wasted On You,Morgan Wallen,Wasted On YouMorgan Wallen,57,2021-01-23,4oUHIQIBe0LHzYfvXNW4QM,contemporary country,91
Something In The Orange,Zach Bryan,Something In The OrangeZach Bryan,67,2022-05-07,40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country,91
Thought You Should Know,Morgan Wallen,Thought You Should KnowMorgan Wallen,52,2022-05-21,4oUHIQIBe0LHzYfvXNW4QM,contemporary country,91
Thinkin' Bout Me,Morgan Wallen,Thinkin' Bout MeMorgan Wallen,55,2023-03-18,4oUHIQIBe0LHzYfvXNW4QM,contemporary country,91
Last Night,Morgan Wallen,Last NightMorgan Wallen,60,2023-02-11,4oUHIQIBe0LHzYfvXNW4QM,contemporary country,91
You Proof,Morgan Wallen,You ProofMorgan Wallen,63,2022-05-28,4oUHIQIBe0LHzYfvXNW4QM,contemporary country,91
Snooze,SZA,SnoozeSZA,71,2022-12-24,7tYKF4w9nC0nq9CsPZTHyP,"pop, r&b, rap",89
Ghost,Justin Bieber,GhostJustin Bieber,52,2021-04-03,1uNFoZAHBGtllmzznpCI3s,"canadian pop, pop",89
Kill Bill,SZA,Kill BillSZA,53,2022-12-24,7tYKF4w9nC0nq9CsPZTHyP,"pop, r&b, rap",89
Demons,Imagine Dragons,DemonsImagine Dragons,61,2013-01-26,53XhwfbYqKCa1cC15pYq2q,"modern rock, pop, rock",88
Don't Start Now,Dua Lipa,Don't Start NowDua Lipa,52,2019-11-16,6M2wZ9GZgrQXHCFfjv46we,"dance pop, pop, uk pop",88
Radioactive,Imagine Dragons,RadioactiveImagine Dragons,87,2012-08-18,53XhwfbYqKCa1cC15pYq2q,"modern rock, pop, rock",88
Perfect,Ed Sheeran,PerfectEd Sheeran,56,2017-03-25,6eUKZXaKkcviH0Ku9w2n3V,"pop, singer-songwriter pop, uk pop",87
Bad Habits,Ed Sheeran,Bad HabitsEd Sheeran,56,2021-07-10,6eUKZXaKkcviH0Ku9w2n3V,"pop, singer-songwriter pop, uk pop",87
Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,58,2014-10-25,6eUKZXaKkcviH0Ku9w2n3V,"pop, singer-songwriter pop, uk pop",87
Shivers,Ed Sheeran,ShiversEd Sheeran,52,2021-09-25,6eUKZXaKkcviH0Ku9w2n3V,"pop, singer-songwriter pop, uk pop",87
Fast Car,Luke Combs,Fast CarLuke Combs,56,2023-04-08,718COspgdWOnwOFpJHRZHS,"contemporary country, country",87
Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran,58,2017-01-28,6eUKZXaKkcviH0Ku9w2n3V,"pop, singer-songwriter pop, uk pop",87
Woman,Doja Cat,WomanDoja Cat,52,2021-07-10,5cj0lLjcoR7YOSnhnX0Po5,"dance pop, pop",86
Rolling In The Deep,Adele,Rolling In The DeepAdele,65,2010-12-25,4dpARuHxo51G3z768sgnrY,"british soul, pop, pop soul, uk pop",86
Girls Like You,Maroon 5 Featuring Cardi B,Girls Like YouMaroon 5 Featuring Cardi B,52,2018-06-09,04gDigrS5kc9YWfZHwBETP,pop,85
Counting Stars,OneRepublic,Counting StarsOneRepublic,68,2013-07-06,5Pwc4xIPtQLFEnJriah9YJ,"piano rock, pop",85
Dark Horse,Katy Perry Featuring Juicy J,Dark HorseKaty Perry Featuring Juicy J,57,2013-10-05,6jJ0s89eD6GaHleKKya26X,pop,85
Go Crazy,Chris Brown & Young Thug,Go CrazyChris Brown & Young Thug,52,2020-05-23,50co4Is1HCEo8bhOyUWKpn,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",84
As It Was,Harry Styles,As It WasHarry Styles,62,2022-04-16,6KImCVD70vtIoJWnq6nGn3,pop,84
Cheap Thrills,Sia Featuring Sean Paul,Cheap ThrillsSia Featuring Sean Paul,52,2016-03-05,5WUlDfRSoLAfcVSX1WnrxN,pop,84
Stay With Me,Sam Smith,Stay With MeSam Smith,54,2014-04-19,2wY79sveU1sp5g7SokKOiI,"pop, uk pop",83
Flowers,Miley Cyrus,FlowersMiley Cyrus,55,2023-01-28,5YGY8feqx7naU7z4HrwZM6,pop,83
Happier,Marshmello & Bastille,HappierMarshmello & Bastille,52,2018-09-01,64KEffDW9EtZ1y2vBYgq8T,"brostep, edm, pop, progressive electro house",83
Stitches,Shawn Mendes,StitchesShawn Mendes,52,2015-06-13,7n2wHs1TKAczGzO7Dd2rGr,"canadian pop, pop, viral pop",83
