Rank,Artist,Song,Released,Decade,Artist ID,Genres,Popularity
69,Taylor Swift,All Too Well,2012,2010-2024,06HL4z0CvFAxyc27GXpf02,pop,100
25,Kanye West,Runaway,2010,2010-2024,5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, hip hop, rap",92
45,Kendrick Lamar,Alright,2015,2010-2024,2YZyLoL8N0Wb9xBt1NhZWg,"conscious hip hop, hip hop, rap, west coast rap",92
73,Beyoncé,Formation,2016,2010-2024,6vWDO969PvNqNYHIOW5v0m,"pop, r&b",86
82,Adele,Rolling in the Deep,2011,2010-2024,4dpARuHxo51G3z768sgnrY,"british soul, pop, pop soul, uk pop",86
50,Daddy Yankee feat. Glory,Gasolina,2010,2010-2024,4VMYDCV2IEDYJArk749S6m,"latin hip hop, reggaeton, trap latino, urbano latino",86
15,The Beatles,I Want to Hold Your Hand,1963,1960-1969,3WrFJ7ztbogyGnTHbHJFl2,"british invasion, classic rock, merseybeat, psychedelic rock, rock",85
72,The Beatles,Yesterday,1965,1960-1969,3WrFJ7ztbogyGnTHbHJFl2,"british invasion, classic rock, merseybeat, psychedelic rock, rock",85
7,The Beatles,Strawberry Fields Forever,1967,1960-1969,3WrFJ7ztbogyGnTHbHJFl2,"british invasion, classic rock, merseybeat, psychedelic rock, rock",85
98,The Beatles,In My Life,1965,1960-1969,3WrFJ7ztbogyGnTHbHJFl2,"british invasion, classic rock, merseybeat, psychedelic rock, rock",85
17,Queen,Bohemian Rhapsody,1975,1970-1979,1dfeR4HaWDbWqFHLkxsg1d,"classic rock, glam rock, rock",85
24,The Beatles,A Day in the Life,1967,1960-1969,3WrFJ7ztbogyGnTHbHJFl2,"british invasion, classic rock, merseybeat, psychedelic rock, rock",85
89,The Beatles,Hey Jude,1968,1960-1969,3WrFJ7ztbogyGnTHbHJFl2,"british invasion, classic rock, merseybeat, psychedelic rock, rock",85
16,Beyonce feat. Jay-Z,Crazy in Love,2003,2000-2009,3nFkdlSjzX9mRTtwJOzDYB,"east coast hip hop, gangster rap, hip hop, pop rap, rap",83
96,Jay-Z,99 Problems,2003,2000-2009,3nFkdlSjzX9mRTtwJOzDYB,"east coast hip hop, gangster rap, hip hop, pop rap, rap",83
47,Elton John,Tiny Dancer,1972,1970-1979,3PhoLpVuITZKcymswpck5b,"glam rock, mellow gold, piano rock, rock",83
44,Michael Jackson,Billie Jean,1982,1980-1989,3fMbdgg4jU18AjLCKBhRSm,"r&b, soul",83
