Rank,Artist,Song,Released,Decade
1,Aretha Franklin,Respect,1967,1960-1969
2,Public Enemy,Fight the Power,1989,1980-1989
3,Sam Cooke,A Change Is Gonna Come,1964,1960-1969
4,Bob Dylan,Like a Rolling Stone,1965,1960-1969
5,Nirvana,Smells Like Teen Spirit,1991,1990-1999
6,Marvin Gaye,What's Going On,1971,1970-1979
7,The Beatles,Strawberry Fields Forever,1967,1960-1969
8,Missy Elliott,Get Ur Freak On,2001,2000-2009
9,Fleetwood Mac,Dreams,1977,1970-1979
10,Outkast,Hey Ya!,2003,2000-2009
11,The Beach Boys,God Only Knows,1966,1960-1969
12,Stevie Wonder,Superstition,1972,1970-1979
13,The Rolling Stones,Gimme Shelter,1969,1960-1969
14,The Kinks,Waterloo Sunset,1967,1960-1969
15,The Beatles,I Want to Hold Your Hand,1963,1960-1969
16,Beyonce feat. Jay-Z,Crazy in Love,2003,2000-2009
17,Queen,Bohemian Rhapsody,1975,1970-1979
18,Prince,Purple Rain,1984,1980-1989
19,John Lennon,Imagine,1971,1970-1979
20,Robyn,Dancing on My Own,2010,2010-2024
22,The Ronettes,Be My Baby,1963,1960-1969
23,David Bowie,Heroes,1977,1970-1979
24,The Beatles,A Day in the Life,1967,1960-1969
25,Kanye West,Runaway,2010,2010-2024
26,Joni Mitchell,A Case of You,1971,1970-1979
27,Bruce Springsteen,Born to Run,1975,1970-1979
28,Talking Heads,Once in a Lifetime,1980,1980-1989
29,Dr. Dre,Nuthin' but a 'G' Thang,1992,1990-1999
30,Lorde,Royals,2011,2010-2024
31,The Rolling Stones,(I Can't Get No) Satisfaction,1965,1960-1969
32,The Notorious B.I.G.,Juicy,1994,1990-1999
33,Chuck Berry,Johnny B. Goode,1958,1960-1969
34,James Brown,Papa's Got A Brand New Bag,1966,1960-1969
36,The White Stripes,Seven Nation Army,2003,2000-2009
37,Prince,When Doves Cry,1984,1980-1989
38,Otis Redding,(Sittin' On) the Dock of the Bay,1967,1960-1969
39,Outkast,B.O.B.,2000,2000-2009
40,Jimi Hendrix,All Along the Watchtower,1968,1960-1969
41,Joy Division,Love Will Tear Us Apart,1980,1980-1989
42,Bob Marley and the Wailers,Redemption Song,1980,1980-1989
43,The Temptations,My Girl,1965,1960-1969
44,Michael Jackson,Billie Jean,1982,1980-1989
45,Kendrick Lamar,Alright,2015,2010-2024
46,M.I.A.,Paper Planes,2008,2000-2009
47,Elton John,Tiny Dancer,1972,1970-1979
48,Radiohead,Idioteque,2000,2000-2009
49,Lauryn Hill,Doo Wop (That Thing),1998,1990-1999
50,Daddy Yankee feat. Glory,Gasolina,2010,2010-2024
51,Dionne Warwick,Walk on By,1964,1960-1969
52,Donna Summer,I Feel Love,1977,1970-1979
53,The Beach Boys,Good Vibrations,1966,1960-1969
54,Smokey Robinson and the Miracles,The Tracks of My Tears,1965,1960-1969
55,Madonna,Like a Prayer,1989,1980-1989
56,Missy Elliott,Work It,2000,2000-2009
57,Sly & The Family Stone,Family Affair,1971,1970-1979
58,The Band,The Weight,1968,1960-1969
59,Grandmaster Flash & Melle Mel,The Message,1982,1980-1989
60,Kate Bush,Running Up That Hill,1985,1980-1989
61,Led Zeppelin,Stairway to Heaven,1971,1970-1979
62,U2,One,1992,1990-1999
63,Dolly Parton,Jolene,1974,1970-1979
64,Ramones,Blitzkrieg Bop,1976,1970-1979
65,"Earth, Wind, and Fire",September,1978,1970-1979
66,Simon & Garfunkel,Bridge Over Troubled Water,1970,1970-1979
67,Bob Dylan,Tangled Up in Blue,1975,1970-1979
68,Chic,Good Times,1979,1970-1979
69,Taylor Swift,All Too Well,2012,2010-2024
70,Elvis Presley,Suspicious Minds,1969,1960-1969
71,Tracy Chapman,Fast Car,1988,1980-1989
72,The Beatles,Yesterday,1965,1960-1969
73,Beyoncé,Formation,2016,2010-2024
74,Leonard Cohen,Hallelujah,1984,1980-1989
75,Pulp,Common People,1996,1990-1999
77,The Modern Lovers,Roadrunner,1976,1970-1979
78,Four Tops,Reach Out (I'll Be There),1967,1960-1969
79,Amy Winehouse,Back to Black,2006,2000-2009
81,The Velvet Underground,I'm Waiting for the Man,1967,1960-1969
82,Adele,Rolling in the Deep,2011,2010-2024
83,Bob Dylan,Desolation Row,1965,1960-1969
84,Al Green,Let's Stay Together,1971,1970-1979
85,Prince,Kiss,1986,1980-1989
86,The Rolling Stones,Tumbling Dice,1972,1970-1979
87,LCD Soundsystem,All My Friends,2007,2000-2009
88,Guns N' Roses,Sweet Child O' Mine,1987,1980-1989
89,The Beatles,Hey Jude,1968,1960-1969
90,Aretha Franklin,(You Make Me Feel Like) A Natural Woman,1967,1960-1969
91,UGK feat. Outkast,Int'l Players Anthem (I Choose You),2007,2000-2009
92,Little Richard,"Good Golly, Miss Molly",1958,1960-1969
93,Kelly Clarkson,Since U Been Gone,2004,2000-2009
94,Whitney Houston,I Will Always Love You,1992,1990-1999
95,Oasis,Wonderwall,1995,1990-1999
96,Jay-Z,99 Problems,2003,2000-2009
97,Patti Smith,Gloria,1975,1970-1979
98,The Beatles,In My Life,1965,1960-1969
99,Bee Gees,Stayin' Alive,1977,1970-1979
100,Bob Dylan,Blowin' in the Wind,1963,1960-1969
