song,performer,song_id,time_on_chart,chart_debut
Heat Waves,Glass Animals,Heat WavesGlass Animals,91,2021-01-16
Blinding Lights,The Weeknd,Blinding LightsThe Weeknd,90,2019-12-14
Radioactive,Imagine Dragons,RadioactiveImagine Dragons,87,2012-08-18
Sail,AWOLNATION,SailAWOLNATION,79,2011-09-03
I'm Yours,Jason Mraz,I'm YoursJason Mraz,76,2008-05-03
Snooze,SZA,SnoozeSZA,71,2022-12-24
How Do I Live,LeAnn Rimes,How Do I LiveLeAnn Rimes,69,1997-06-21
Counting Stars,OneRepublic,Counting StarsOneRepublic,68,2013-07-06
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock AnthemLMFAO Featuring Lauren Bennett & GoonRock,68,2011-02-12
Something In The Orange,Zach Bryan,Something In The OrangeZach Bryan,67,2022-05-07
Save Your Tears,The Weeknd & Ariana Grande,Save Your TearsThe Weeknd & Ariana Grande,67,2021-01-09
All I Want For Christmas Is You,Mariah Carey,All I Want For Christmas Is YouMariah Carey,65,2000-01-08
Rolling In The Deep,Adele,Rolling In The DeepAdele,65,2010-12-25
Foolish Games/You Were Meant For Me,Jewel,Foolish Games/You Were Meant For MeJewel,65,1996-11-30
Before He Cheats,Carrie Underwood,Before He CheatsCarrie Underwood,64,2006-09-16
You Proof,Morgan Wallen,You ProofMorgan Wallen,63,2022-05-28
Stay,The Kid LAROI & Justin Bieber,StayThe Kid LAROI & Justin Bieber,63,2021-07-24
You And Me,Lifehouse,You And MeLifehouse,62,2005-02-12
I Hope,Gabby Barrett Featuring Charlie Puth,I HopeGabby Barrett Featuring Charlie Puth,62,2020-01-11
Ho Hey,The Lumineers,Ho HeyThe Lumineers,62,2012-06-23
As It Was,Harry Styles,As It WasHarry Styles,62,2022-04-16
Demons,Imagine Dragons,DemonsImagine Dragons,61,2013-01-26
Circles,Post Malone,CirclesPost Malone,61,2019-09-14
Macarena (Bayside Boys Mix),Los Del Rio,Macarena (Bayside Boys Mix)Los Del Rio,60,1995-09-02
Last Night,Morgan Wallen,Last NightMorgan Wallen,60,2023-02-11
Need You Now,Lady Antebellum,Need You NowLady Antebellum,60,2009-08-29
All Of Me,John Legend,All Of MeJohn Legend,59,2013-09-21
Somebody That I Used To Know,Gotye Featuring Kimbra,Somebody That I Used To KnowGotye Featuring Kimbra,59,2012-01-21
Rockin' Around The Christmas Tree,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,59,1960-12-10
How To Save A Life,The Fray,How To Save A LifeThe Fray,58,2006-04-15
Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran,58,2017-01-28
Smooth,Santana Featuring Rob Thomas,SmoothSantana Featuring Rob Thomas,58,1999-07-31
Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,58,2014-10-25
Calm Down,Rema & Selena Gomez,Calm DownRema & Selena Gomez,58,2022-09-17
Higher,Creed,HigherCreed,57,1999-09-11
Use Somebody,Kings Of Leon,Use SomebodyKings Of Leon,57,2008-10-11
Jingle Bell Rock,Bobby Helms,Jingle Bell RockBobby Helms,57,1958-12-20
Wasted On You,Morgan Wallen,Wasted On YouMorgan Wallen,57,2021-01-23
Lights,Ellie Goulding,LightsEllie Goulding,57,2011-08-20
Dark Horse,Katy Perry Featuring Juicy J,Dark HorseKaty Perry Featuring Juicy J,57,2013-10-05
Unchained Melody,The Righteous Brothers,Unchained MelodyThe Righteous Brothers,57,1965-07-17
Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars,56,2014-11-29
Perfect,Ed Sheeran,PerfectEd Sheeran,56,2017-03-25
Fast Car,Luke Combs,Fast CarLuke Combs,56,2023-04-08
